MAMH           |TENMH                                             |U|S
INT1339        |Lap trinh C++                                     |0|0
INT13145       |Cau truc du lieu va giai thuat                    |0|0
INT1332        |Co so du lieu                                     |0|0
INT1415        |Mang may tinh                                     |0|0
INT1301        |He dieu hanh                                      |0|0
INT1302        |Kien truc may tinh                                |0|0
INT1303        |Tri tue nhan tao                                  |0|0
INT1304        |Hoc may                                           |0|0
INT1305        |Phan tich thiet ke he thong                       |0|0
INT1306        |Cong nghe phan mem                                |0|0
INT1307        |Lap trinh Java                                    |0|0
INT1308        |Lap trinh Web                                     |0|0
INT1309        |Lap trinh Huong doi tuong                         |0|0
INT1310        |Do hoa may tinh                                   |0|0
INT1311        |Xu ly anh                                         |0|0
INT1312        |An toan thong tin                                 |0|0
INT1313        |Danh gia hieu nang he thong                       |0|0
INT1314        |Dien toan dam may                                 |0|0
INT1315        |Phat trien ung dung di dong                       |0|0
INT1316        |Quan tri du an CNTT                               |0|0
INT2006        |Dau Buoi Re Rach                                  |0|1
